"","ID","livebirths","ALB","AFB","ALBna","age","agesq","year","wealth","wealthz","mobility","subsist","population","edu","contra","propag","proppast","propcult","propHG","proplab","propfish","propagz","proppastz","propcultz","propHGz","proplabz","propfishz","unitpropcult","unitpropHG","unitproplab","unitpropag","unitproppast","unitpropfish","unitpropcultz","unitpropHGz","unitproplabz","unitpropagz","unitproppastz","unitpropfishz","residence","income","market","occ1","occ2","partocc","land","livestock","dietpropmarket","dietpropHG","dietpropfarm","dietpropfish","dietproppast","urban","residencesub","agediff","ageissue","age1","agediff1","ageissue2","propagmax","propcultmax","propfishmax","proppastmax","propHGmax","proplabmax","propfarmmax","occmax","subred","dietprop"
"1095","NI0563",2,NA,21,NA,29,841,2013,40253,-0.299883329333013,0,"hort","Nicaragua",5,"0",0,0,0.444444444444444,0,0,0.555555555555556,0,0,-0.425056308449872,-0.263241535548324,-0.470508880999783,0.677193854999517,0.428439153439153,0.0349206349206349,0.0876984126984127,0,0,0.448941798941799,-1.15170775462954,-0.04706468659811,-0.091445411530035,0,0,1.24790718854308,"village",NA,"low","hort",NA,NA,NA,0,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,0.444444444444444,0.555555555555556,0,0,0,0.444444444444444,"hort","hort",NA
"1096","NI0565",2,NA,16,NA,21,441,2013,10105,-0.55241632446317,0,"hort","Nicaragua",6,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"hort",NA
"1097","NI0572",0,NA,NA,NA,19,361,2013,31169,-0.375974935003782,0,"hort","Nicaragua",4,"0",0,0,1,0,0,0,0,0,1.53976022377671,-0.263241535548324,-0.470508880999783,-1.23161909182393,0.933333333333333,0.0333333333333333,0,0,0,0.0333333333333333,1.9429595119221,-0.0731549606501987,-0.85953893332743,0,0,-1.32976465952876,"village",NA,"low","hort",NA,NA,NA,1.25,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,1,0,0,0,0,1,"hort","hort",NA
"1098","NI0638",1,NA,14,NA,16,256,2013,32159,-0.367682256710733,0,"hort","Nicaragua",3,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.784615384615385,0,0.0769230769230769,0,0,0.138461538461538,1.03141688343983,-0.621050715744061,-0.185819589460589,0,0,-0.67774229419854,"village",NA,"low","hort",NA,NA,NA,0,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,0.784615384615385,0.138461538461538,0,0,0.0769230769230769,0.784615384615385,"hort","hort",NA
"1099","NI0639",13,NA,15,NA,69,4761,2013,16473,-0.499075137220605,0,"hort","Nicaragua",0,"0",0,0,0.75,0,0,0.25,0,0,0.65559278427475,-0.263241535548324,-0.470508880999783,-0.372653265753378,0.660539215686274,0,0.215686274509804,0,0,0.123774509803922,0.270912061172865,-0.621050715744061,1.02951726614234,0,0,-0.76883365406085,"village",NA,"low","hort",NA,"hort",NA,1.75,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,0.75,0.25,0,0,0,0.75,"hort","hort",NA
"1100","NI0642",6,NA,20,NA,34,1156,2013,60806,-0.127722302103674,0,"hort","Nicaragua",6,"0",0,0,1,0,0,0,0,0,1.53976022377671,-0.263241535548324,-0.470508880999783,-1.23161909182393,0.944444444444444,0,0.0555555555555556,0,0,0,2.01106327152135,-0.621050715744061,-0.372963851645822,0,0,-1.536503458292,"village",NA,"low","hort",NA,"lab",NA,0,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,1,0,0,0,0,1,"hort","hort",NA
"1101","NI0649",8,NA,15,NA,32,1024,2013,27162,-0.409539340983832,0,"hort","Nicaragua",1,"0",0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,-0.818019614895188,-0.263241535548324,1.77520500512479,-0.0863313237298617,0.62962962962963,0.037037037037037,0.111111111111111,0,0,0.222222222222222,0.0814567495425974,-0.0122776545286585,0.113611230035785,0,0,-0.158244799870395,"village",NA,"low","hort",NA,"hort",NA,1.25,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,"hort","hort",NA
"1102","NI0658",0,NA,NA,NA,18,324,2013,56628,-0.162719079788887,0,"hort","Nicaragua",8,"0",0,0,0.5,0,0,0.5,0,0,-0.228574655227213,-0.263241535548324,-0.470508880999783,0.486312560317172,0.755650522317189,0.00617283950617284,0.0554605887939221,0,0,0.182716049382716,0.853881441749477,-0.519588538874827,-0.373795603922201,0,0,-0.40326856136757,"village",NA,"low","hort",NA,NA,NA,0.75,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,0.5,0.5,0,0,0,0.5,"hort","hort",NA
"1103","NI0663",0,NA,NA,NA,18,324,2013,32303,-0.366476048959017,0,"hort","Nicaragua",6,"0",0,0,0.666666666666667,0,0,0.333333333333333,0,0,0.360870304440762,-0.263241535548324,-0.470508880999783,-0.0863313237298617,0.666987179487179,0.00961538461538462,0.0125,0,0,0.310897435897436,0.310433813066999,-0.463003863313139,-0.750059539949068,0,0,0.391733414788228,"village",NA,"low","hort",NA,NA,NA,1,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,0.666666666666667,0.333333333333333,0,0,0,0.666666666666667,"hort","hort",NA
"1104","NI0672",0,NA,NA,NA,23,529,2013,4900,-0.596015708822082,0,"hort","Nicaragua",9,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",NA,"low","hort",NA,NA,NA,0,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,"hort","hort",NA
